Дата,Багратионовский городской округ,Балтийский городской округ,Гвардейский городской округ,"Городской округ ""Город Калининград""",Гурьевский городской округ,Гусевский городской округ,Зеленоградский городской округ,Краснознаменский городской округ,Ладушкинский городской округ,Мамоновский городской округ,Неманский городской округ,Нестеровский городской округ,Озёрский городской округ,Пионерский городской округ,Полесский городской округ,Правдинский городской округ,Светловский городской округ,Светлогорский городской округ,Славский городской округ,Советский городской округ,Черняховский городской округ,Янтарный городской округ
2020-08-06,0,2,0,18,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-08-07,0,0,0,8,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0
2020-08-08,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2020-08-09,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-10,1,2,0,12,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2020-08-11,0,3,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-08-12,0,0,1,14,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-08-13,1,0,0,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-08-14,1,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2020-08-15,0,1,0,11,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-08-16,0,0,0,17,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-08-17,0,1,0,19,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-08-18,0,1,2,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2020-08-19,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2020-08-20,0,0,0,7,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2020-08-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-22,0,0,1,28,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2020-08-23,0,1,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-24,3,0,1,13,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0
2020-08-25,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-08-26,1,1,0,15,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0
2020-08-27,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-08-28,0,0,0,16,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-29,0,0,1,18,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2020-08-30,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-08-31,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,0,0,0,12,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-09-02,1,0,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-03,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-04,0,0,0,12,0,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
2020-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
